observation,marker,gpu_ns,gpu_sample_count
14,VSM.FilterVertical,0,0
14,VSM.FilterTemporalVertical,74240,1
14,VSM.ResetFeedback,2304,1
15,VSM.MarkReceiverPages,902400,1
15,VSM.Allocate,2119680,1
15,VSM.ClearPhysicalPages,267008,1
15,VSM.PageOccupancy,61952,1
15,VSM.FinalizePages,2048,1
15,VSM.DynamicRaster,11776,1
15,VSM.LayoutRemap,2304,1
15,VSM.InvalidateStatic,2048,1
15,VSM.StaticCasterCull,133632,1
15,VSM.DynamicCasterCull,0,1
15,VSM.PageCull,114688,1
15,VSM.StaticRasterClear,0,1
15,VSM.StaticRasterDraw,4606976,1
15,VSM.DynamicRasterClear,11520,1
15,VSM.DynamicRasterDraw,0,1
15,VSM.StaticRaster,4607232,1
15,VSM.UnityCompatibilityRaster,0,0
15,VSM.Resolve,4417792,1
15,VSM.ResolveTrace,4279296,1
15,VSM.FilterHorizontal,64256,1
15,VSM.FilterVertical,0,0
15,VSM.FilterTemporalVertical,72960,1
15,VSM.ResetFeedback,2304,1
16,VSM.MarkReceiverPages,535552,1
16,VSM.Allocate,2120704,1
16,VSM.ClearPhysicalPages,269568,1
16,VSM.PageOccupancy,64512,1
16,VSM.FinalizePages,2048,1
16,VSM.DynamicRaster,12288,1
16,VSM.LayoutRemap,2048,1
16,VSM.InvalidateStatic,2560,1
16,VSM.StaticCasterCull,134400,1
16,VSM.DynamicCasterCull,0,1
16,VSM.PageCull,114176,1
16,VSM.StaticRasterClear,0,1
16,VSM.StaticRasterDraw,4552960,1
16,VSM.DynamicRasterClear,12288,1
16,VSM.DynamicRasterDraw,0,1
16,VSM.StaticRaster,4552960,1
16,VSM.UnityCompatibilityRaster,0,0
16,VSM.Resolve,5009408,1
16,VSM.ResolveTrace,4870912,1
16,VSM.FilterHorizontal,64256,1
16,VSM.FilterVertical,0,0
16,VSM.FilterTemporalVertical,73216,1
16,VSM.ResetFeedback,2304,1
17,VSM.MarkReceiverPages,885760,1
17,VSM.Allocate,2155776,1
17,VSM.ClearPhysicalPages,268032,1
17,VSM.PageOccupancy,62976,1
17,VSM.FinalizePages,2048,1
17,VSM.DynamicRaster,13312,1
17,VSM.LayoutRemap,2560,1
17,VSM.InvalidateStatic,2560,1
17,VSM.StaticCasterCull,130304,1
17,VSM.DynamicCasterCull,0,1
17,VSM.PageCull,110592,1
17,VSM.StaticRasterClear,0,1
17,VSM.StaticRasterDraw,4600320,1
17,VSM.DynamicRasterClear,13056,1
17,VSM.DynamicRasterDraw,0,1
17,VSM.StaticRaster,4600576,1
17,VSM.UnityCompatibilityRaster,0,0
17,VSM.Resolve,4994560,1
17,VSM.ResolveTrace,4857088,1
17,VSM.FilterHorizontal,64000,1
17,VSM.FilterVertical,0,0
17,VSM.FilterTemporalVertical,72448,1
17,VSM.ResetFeedback,2048,1
18,VSM.MarkReceiverPages,536064,1
18,VSM.Allocate,2119424,1
18,VSM.ClearPhysicalPages,268288,1
18,VSM.PageOccupancy,67328,1
18,VSM.FinalizePages,2816,1
18,VSM.DynamicRaster,14336,1
18,VSM.LayoutRemap,2304,1
18,VSM.InvalidateStatic,2560,1
18,VSM.StaticCasterCull,133120,1
18,VSM.DynamicCasterCull,0,1
18,VSM.PageCull,112896,1
18,VSM.StaticRasterClear,0,1
18,VSM.StaticRasterDraw,4819200,1
18,VSM.DynamicRasterClear,14336,1
18,VSM.DynamicRasterDraw,0,1
18,VSM.StaticRaster,4819456,1
18,VSM.UnityCompatibilityRaster,0,0
18,VSM.Resolve,4710400,1
18,VSM.ResolveTrace,4569344,1
18,VSM.FilterHorizontal,67072,1
18,VSM.FilterVertical,0,0
18,VSM.FilterTemporalVertical,72704,1
18,VSM.ResetFeedback,2304,1
19,VSM.MarkReceiverPages,534528,1
19,VSM.Allocate,2090752,1
19,VSM.ClearPhysicalPages,266496,1
19,VSM.PageOccupancy,64000,1
19,VSM.FinalizePages,2560,1
19,VSM.DynamicRaster,11776,1
19,VSM.LayoutRemap,2304,1
19,VSM.InvalidateStatic,2816,1
19,VSM.StaticCasterCull,135168,1
19,VSM.DynamicCasterCull,0,1
19,VSM.PageCull,116224,1
19,VSM.StaticRasterClear,0,1
19,VSM.StaticRasterDraw,4620288,1
19,VSM.DynamicRasterClear,11776,1
19,VSM.DynamicRasterDraw,0,1
19,VSM.StaticRaster,4620288,1
19,VSM.UnityCompatibilityRaster,0,0
19,VSM.Resolve,4994304,1
19,VSM.ResolveTrace,4857088,1
19,VSM.FilterHorizontal,63488,1
19,VSM.FilterVertical,0,0
19,VSM.FilterTemporalVertical,72192,1
19,VSM.ResetFeedback,2304,1
20,VSM.MarkReceiverPages,529920,1
20,VSM.Allocate,2088448,1
20,VSM.ClearPhysicalPages,265984,1
20,VSM.PageOccupancy,61184,1
20,VSM.FinalizePages,2304,1
20,VSM.DynamicRaster,13312,1
20,VSM.LayoutRemap,2304,1
20,VSM.InvalidateStatic,1536,1
20,VSM.StaticCasterCull,147968,1
20,VSM.DynamicCasterCull,0,1
20,VSM.PageCull,129280,1
20,VSM.StaticRasterClear,0,1
20,VSM.StaticRasterDraw,5063168,1
20,VSM.DynamicRasterClear,13312,1
20,VSM.DynamicRasterDraw,0,1
20,VSM.StaticRaster,5063424,1
20,VSM.UnityCompatibilityRaster,0,0
20,VSM.Resolve,4878848,1
20,VSM.ResolveTrace,4739840,1
20,VSM.FilterHorizontal,65792,1
20,VSM.FilterVertical,0,0
20,VSM.FilterTemporalVertical,72448,1
20,VSM.ResetFeedback,2304,1
21,VSM.MarkReceiverPages,1275392,1
21,VSM.Allocate,2105856,1
21,VSM.ClearPhysicalPages,265728,1
21,VSM.PageOccupancy,61440,1
21,VSM.FinalizePages,2304,1
21,VSM.DynamicRaster,12032,1
21,VSM.LayoutRemap,2560,1
21,VSM.InvalidateStatic,2048,1
21,VSM.StaticCasterCull,128000,1
21,VSM.DynamicCasterCull,0,1
21,VSM.PageCull,108544,1
21,VSM.StaticRasterClear,0,1
21,VSM.StaticRasterDraw,4733184,1
21,VSM.DynamicRasterClear,11776,1
21,VSM.DynamicRasterDraw,0,1
21,VSM.StaticRaster,4733440,1
21,VSM.UnityCompatibilityRaster,0,0
21,VSM.Resolve,5013504,1
21,VSM.ResolveTrace,4873984,1
21,VSM.FilterHorizontal,65792,1
21,VSM.FilterVertical,0,0
21,VSM.FilterTemporalVertical,72960,1
21,VSM.ResetFeedback,2304,1
22,VSM.MarkReceiverPages,1044736,1
22,VSM.Allocate,2129920,1
22,VSM.ClearPhysicalPages,267776,1
22,VSM.PageOccupancy,61696,1
22,VSM.FinalizePages,2048,1
22,VSM.DynamicRaster,11776,1
22,VSM.LayoutRemap,2560,1
22,VSM.InvalidateStatic,2048,1
22,VSM.StaticCasterCull,126976,1
22,VSM.DynamicCasterCull,0,1
22,VSM.PageCull,108032,1
22,VSM.StaticRasterClear,0,1
22,VSM.StaticRasterDraw,4889856,1
22,VSM.DynamicRasterClear,11520,1
22,VSM.DynamicRasterDraw,0,1
22,VSM.StaticRaster,4890112,1
22,VSM.UnityCompatibilityRaster,0,0
22,VSM.Resolve,5273344,1
22,VSM.ResolveTrace,5135104,1
22,VSM.FilterHorizontal,64512,1
22,VSM.FilterVertical,0,0
22,VSM.FilterTemporalVertical,72704,1
22,VSM.ResetFeedback,2304,1
23,VSM.MarkReceiverPages,536320,1
23,VSM.Allocate,2087424,1
23,VSM.ClearPhysicalPages,266240,1
23,VSM.PageOccupancy,61440,1
23,VSM.FinalizePages,2048,1
23,VSM.DynamicRaster,12032,1
23,VSM.LayoutRemap,2048,1
23,VSM.InvalidateStatic,2560,1
23,VSM.StaticCasterCull,123648,1
23,VSM.DynamicCasterCull,0,1
23,VSM.PageCull,104704,1
23,VSM.StaticRasterClear,0,1
23,VSM.StaticRasterDraw,4551424,1
23,VSM.DynamicRasterClear,12032,1
23,VSM.DynamicRasterDraw,0,1
23,VSM.StaticRaster,4551424,1
23,VSM.UnityCompatibilityRaster,0,0
23,VSM.Resolve,4892928,1
23,VSM.ResolveTrace,4754688,1
23,VSM.FilterHorizontal,64768,1
23,VSM.FilterVertical,0,0
23,VSM.FilterTemporalVertical,72448,1
23,VSM.ResetFeedback,2048,1
24,VSM.MarkReceiverPages,532480,1
24,VSM.Allocate,2091520,1
24,VSM.ClearPhysicalPages,266752,1
24,VSM.PageOccupancy,69632,1
24,VSM.FinalizePages,2048,1
24,VSM.DynamicRaster,12288,1
24,VSM.LayoutRemap,2304,1
24,VSM.InvalidateStatic,2560,1
24,VSM.StaticCasterCull,132864,1
24,VSM.DynamicCasterCull,0,1
24,VSM.PageCull,113664,1
24,VSM.StaticRasterClear,0,1
24,VSM.StaticRasterDraw,4662272,1
24,VSM.DynamicRasterClear,12288,1
24,VSM.DynamicRasterDraw,0,1
24,VSM.StaticRaster,4662528,1
24,VSM.UnityCompatibilityRaster,0,0
24,VSM.Resolve,4678400,1
24,VSM.ResolveTrace,4540160,1
24,VSM.FilterHorizontal,64512,1
24,VSM.FilterVertical,0,0
24,VSM.FilterTemporalVertical,72448,1
24,VSM.ResetFeedback,2048,1
25,VSM.MarkReceiverPages,536320,1
25,VSM.Allocate,2106368,1
25,VSM.ClearPhysicalPages,577280,1
25,VSM.PageOccupancy,65536,1
25,VSM.FinalizePages,2560,1
25,VSM.DynamicRaster,12288,1
25,VSM.LayoutRemap,2560,1
25,VSM.InvalidateStatic,1792,1
25,VSM.StaticCasterCull,133376,1
25,VSM.DynamicCasterCull,0,1
25,VSM.PageCull,108544,1
25,VSM.StaticRasterClear,0,1
25,VSM.StaticRasterDraw,4990464,1
25,VSM.DynamicRasterClear,12288,1
25,VSM.DynamicRasterDraw,0,1
25,VSM.StaticRaster,4990720,1
25,VSM.UnityCompatibilityRaster,0,0
25,VSM.Resolve,4678912,1
25,VSM.ResolveTrace,4540928,1
25,VSM.FilterHorizontal,65024,1
25,VSM.FilterVertical,0,0
25,VSM.FilterTemporalVertical,72192,1
25,VSM.ResetFeedback,2304,1
26,VSM.MarkReceiverPages,886016,1
26,VSM.Allocate,2122240,1
26,VSM.ClearPhysicalPages,267008,1
26,VSM.PageOccupancy,68096,1
26,VSM.FinalizePages,2304,1
26,VSM.DynamicRaster,12288,1
26,VSM.LayoutRemap,2304,1
26,VSM.InvalidateStatic,2560,1
26,VSM.StaticCasterCull,130048,1
26,VSM.DynamicCasterCull,0,1
26,VSM.PageCull,110848,1
26,VSM.StaticRasterClear,0,1
26,VSM.StaticRasterDraw,5113600,1
26,VSM.DynamicRasterClear,12288,1
26,VSM.DynamicRasterDraw,0,1
26,VSM.StaticRaster,5113856,1
26,VSM.UnityCompatibilityRaster,0,0
26,VSM.Resolve,4644352,1
26,VSM.ResolveTrace,4508160,1
26,VSM.FilterHorizontal,62464,1
26,VSM.FilterVertical,0,0
26,VSM.FilterTemporalVertical,72192,1
26,VSM.ResetFeedback,2304,1
27,VSM.MarkReceiverPages,531456,1
27,VSM.Allocate,2105600,1
27,VSM.ClearPhysicalPages,570368,1
27,VSM.PageOccupancy,64256,1
27,VSM.FinalizePages,2304,1
27,VSM.DynamicRaster,13312,1
27,VSM.LayoutRemap,2048,1
27,VSM.InvalidateStatic,1792,1
27,VSM.StaticCasterCull,141824,1
27,VSM.DynamicCasterCull,0,1
27,VSM.PageCull,116992,1
27,VSM.StaticRasterClear,0,1
27,VSM.StaticRasterDraw,5073920,1
27,VSM.DynamicRasterClear,13312,1
27,VSM.DynamicRasterDraw,0,1
27,VSM.StaticRaster,5074176,1
27,VSM.UnityCompatibilityRaster,0,0
27,VSM.Resolve,5069568,1
27,VSM.ResolveTrace,4928256,1
27,VSM.FilterHorizontal,67328,1
27,VSM.FilterVertical,0,0
27,VSM.FilterTemporalVertical,72704,1
27,VSM.ResetFeedback,2304,1
28,VSM.MarkReceiverPages,691456,1
28,VSM.Allocate,2104320,1
28,VSM.ClearPhysicalPages,267008,1
28,VSM.PageOccupancy,65792,1
28,VSM.FinalizePages,2304,1
28,VSM.DynamicRaster,12544,1
28,VSM.LayoutRemap,2304,1
28,VSM.InvalidateStatic,2816,1
28,VSM.StaticCasterCull,127744,1
28,VSM.DynamicCasterCull,0,1
28,VSM.PageCull,108288,1
28,VSM.StaticRasterClear,0,1
28,VSM.StaticRasterDraw,4738304,1
28,VSM.DynamicRasterClear,12544,1
28,VSM.DynamicRasterDraw,0,1
28,VSM.StaticRaster,4738560,1
28,VSM.UnityCompatibilityRaster,0,0
28,VSM.Resolve,4793600,1
28,VSM.ResolveTrace,4653056,1
28,VSM.FilterHorizontal,67584,1
28,VSM.FilterVertical,0,0
28,VSM.FilterTemporalVertical,71936,1
28,VSM.ResetFeedback,2304,1
29,VSM.MarkReceiverPages,533248,1
29,VSM.Allocate,2119680,1
29,VSM.ClearPhysicalPages,267264,1
29,VSM.PageOccupancy,64768,1
29,VSM.FinalizePages,2048,1
29,VSM.DynamicRaster,13056,1
29,VSM.LayoutRemap,2560,1
29,VSM.InvalidateStatic,2560,1
29,VSM.StaticCasterCull,135168,1
29,VSM.DynamicCasterCull,0,1
29,VSM.PageCull,115968,1
29,VSM.StaticRasterClear,0,1
29,VSM.StaticRasterDraw,4719872,1
29,VSM.DynamicRasterClear,13056,1
29,VSM.DynamicRasterDraw,0,1
29,VSM.StaticRaster,4719872,1
