observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
76,570.5912916,2.2106000000121639,VSM.MarkReceiverPages,744960,1
76,570.5912916,2.2106000000121639,VSM.AllocationPrepare,9472,1
76,570.5912916,2.2106000000121639,VSM.AllocationCommit,606208,1
76,570.5912916,2.2106000000121639,VSM.Allocate,846592,1
76,570.5912916,2.2106000000121639,VSM.ClearPhysicalPages,120832,1
76,570.5912916,2.2106000000121639,VSM.PageOccupancy,2560,1
76,570.5912916,2.2106000000121639,VSM.FinalizePages,1792,1
76,570.5912916,2.2106000000121639,VSM.DynamicRaster,7168,1
76,570.5912916,2.2106000000121639,VSM.LayoutRemap,0,1
76,570.5912916,2.2106000000121639,VSM.InvalidateStatic,0,0
76,570.5912916,2.2106000000121639,VSM.InvalidateDynamic,256,1
76,570.5912916,2.2106000000121639,VSM.StaticCasterCull,211456,1
76,570.5912916,2.2106000000121639,VSM.DynamicCasterCull,123904,1
76,570.5912916,2.2106000000121639,VSM.PageCull,301568,2
76,570.5912916,2.2106000000121639,VSM.StaticRasterClear,0,1
76,570.5912916,2.2106000000121639,VSM.StaticRasterDraw,6912,1
76,570.5912916,2.2106000000121639,VSM.DynamicRasterClear,256,1
76,570.5912916,2.2106000000121639,VSM.DynamicRasterDraw,6912,1
76,570.5912916,2.2106000000121639,VSM.StaticRaster,7168,1
76,570.5912916,2.2106000000121639,VSM.UnityCompatibilityRaster,0,0
76,570.5912916,2.2106000000121639,VSM.Resolve,5678080,1
76,570.5912916,2.2106000000121639,VSM.ResolveTrace,5451520,1
76,570.5912916,2.2106000000121639,VSM.FilterHorizontal,65280,1
76,570.5912916,2.2106000000121639,VSM.FilterVertical,0,0
76,570.5912916,2.2106000000121639,VSM.FilterTemporalVertical,160000,1
76,570.5912916,2.2106000000121639,VSM.ResetFeedback,0,1
77,570.6062468,2.3653000000649627,VSM.MarkReceiverPages,743168,1
77,570.6062468,2.3653000000649627,VSM.AllocationPrepare,9472,1
77,570.6062468,2.3653000000649627,VSM.AllocationCommit,603392,1
77,570.6062468,2.3653000000649627,VSM.Allocate,613120,1
77,570.6062468,2.3653000000649627,VSM.ClearPhysicalPages,120064,1
77,570.6062468,2.3653000000649627,VSM.PageOccupancy,2560,1
77,570.6062468,2.3653000000649627,VSM.FinalizePages,1792,1
77,570.6062468,2.3653000000649627,VSM.DynamicRaster,7168,1
77,570.6062468,2.3653000000649627,VSM.LayoutRemap,0,1
77,570.6062468,2.3653000000649627,VSM.InvalidateStatic,0,0
77,570.6062468,2.3653000000649627,VSM.InvalidateDynamic,0,1
77,570.6062468,2.3653000000649627,VSM.StaticCasterCull,215040,1
77,570.6062468,2.3653000000649627,VSM.DynamicCasterCull,121600,1
77,570.6062468,2.3653000000649627,VSM.PageCull,303360,2
77,570.6062468,2.3653000000649627,VSM.StaticRasterClear,0,1
77,570.6062468,2.3653000000649627,VSM.StaticRasterDraw,7168,1
77,570.6062468,2.3653000000649627,VSM.DynamicRasterClear,0,1
77,570.6062468,2.3653000000649627,VSM.DynamicRasterDraw,6656,1
