observation,marker,gpu_ns,gpu_sample_count
12,VSM.ResolveTrace,5689088,1
12,VSM.FilterHorizontal,61696,1
12,VSM.FilterVertical,0,0
12,VSM.FilterTemporalVertical,69120,1
12,VSM.ResetFeedback,1792,1
13,VSM.MarkReceiverPages,1026048,1
13,VSM.Allocate,11256832,1
13,VSM.ClearPhysicalPages,471552,1
13,VSM.PageOccupancy,68352,1
13,VSM.FinalizePages,2048,1
13,VSM.DynamicRaster,95744,1
13,VSM.LayoutRemap,2304,1
13,VSM.InvalidateStatic,2304,1
13,VSM.StaticCasterCull,188672,1
13,VSM.DynamicCasterCull,0,1
13,VSM.PageCull,168960,1
13,VSM.StaticRasterClear,0,1
13,VSM.StaticRasterDraw,26196480,1
13,VSM.DynamicRasterClear,95744,1
13,VSM.DynamicRasterDraw,0,1
13,VSM.StaticRaster,26196736,1
13,VSM.UnityCompatibilityRaster,0,0
13,VSM.Resolve,6840576,1
13,VSM.ResolveTrace,6464768,1
13,VSM.FilterHorizontal,63232,1
13,VSM.FilterVertical,0,0
13,VSM.FilterTemporalVertical,72448,1
13,VSM.ResetFeedback,1792,1
14,VSM.MarkReceiverPages,994304,1
14,VSM.Allocate,11268352,1
14,VSM.ClearPhysicalPages,471808,1
14,VSM.PageOccupancy,69888,1
14,VSM.FinalizePages,2048,1
14,VSM.DynamicRaster,87040,1
14,VSM.LayoutRemap,3328,1
14,VSM.InvalidateStatic,2048,1
14,VSM.StaticCasterCull,173568,1
14,VSM.DynamicCasterCull,0,1
14,VSM.PageCull,154112,1
14,VSM.StaticRasterClear,0,1
14,VSM.StaticRasterDraw,25129472,1
14,VSM.DynamicRasterClear,87040,1
14,VSM.DynamicRasterDraw,0,1
14,VSM.StaticRaster,25129728,1
14,VSM.UnityCompatibilityRaster,0,0
14,VSM.Resolve,6224640,1
14,VSM.ResolveTrace,6089984,1
14,VSM.FilterHorizontal,62464,1
14,VSM.FilterVertical,0,0
14,VSM.FilterTemporalVertical,70912,1
14,VSM.ResetFeedback,2048,1
15,VSM.MarkReceiverPages,727040,1
15,VSM.Allocate,11310592,1
15,VSM.ClearPhysicalPages,476416,1
15,VSM.PageOccupancy,68864,1
15,VSM.FinalizePages,2304,1
15,VSM.DynamicRaster,92928,1
15,VSM.LayoutRemap,2560,1
15,VSM.InvalidateStatic,2048,1
