id,scene,resolution,budget,cap,rays,old_fp,new_fp,old_fn,new_fn,changed,new_mean_reads
392,gap_trap,64,4,4,12480,504,504,0,0,0,4.104246794871795
393,gap_trap,64,8,4,12480,504,504,0,0,0,4.660657051282051
398,gap_trap,128,4,4,12480,471,471,0,0,0,4.922516025641026
400,gap_trap,128,8,4,12480,0,0,51,51,0,6.365304487179487
406,gap_trap,256,4,4,12480,453,453,0,0,0,6.034855769230769
409,gap_trap,256,8,4,12480,15,15,60,60,0,8.018830128205128
416,gap_trap,512,4,4,12480,462,459,0,0,3,7.633894230769231
417,gap_trap,512,8,4,12480,15,15,51,51,0,9.842147435897436
422,gap_hidden,64,4,4,12480,378,378,234,234,0,4.104246794871795
423,gap_hidden,64,8,4,12480,378,378,234,234,0,4.660657051282051
428,gap_hidden,128,4,4,12480,300,300,252,252,0,4.922516025641026
430,gap_hidden,128,8,4,12480,0,0,474,474,0,6.365304487179487
436,gap_hidden,256,4,4,12480,303,303,168,168,0,6.034855769230769
439,gap_hidden,256,8,4,12480,0,0,363,363,0,8.018830128205128
446,gap_hidden,512,4,4,12480,318,318,150,153,3,7.633894230769231
447,gap_hidden,512,8,4,12480,0,0,330,330,0,9.842147435897436
