pool,physical_page,virtual_page,clipmap,occupied_slots,nonempty_texels,empty_texels,last_layer_nonempty,max_occupied_layers,slot_fraction,last_layer_fraction,layer_counts,occupancy_histogram
static,98,1430,5,75103,16384,0,0,14,0.2864952087402344,0.0,16384 16384 16384 9158 5993 2959 2772 2263 2133 470 155 36 8 4 0 0,0 0 0 7226 3165 3034 187 509 130 1663 315 119 28 4 4 0 0
static,99,1431,5,177738,16384,0,1343,16,0.6780166625976562,0.08197021484375,16384 16384 16384 16384 15984 15984 15047 14876 14059 9819 9263 5909 5276 2577 2065 1343,0 0 0 0 400 0 937 171 817 4240 556 3354 633 2699 512 722 1343
static,100,1432,5,171160,16384,0,2545,16,0.652923583984375,0.15533447265625,16384 16384 16384 16384 15056 15056 13394 13114 11873 8891 7348 6424 5077 3685 3161 2545,0 0 0 0 1328 0 1662 280 1241 2982 1543 924 1347 1392 524 616 2545
static,101,1433,5,116332,16384,0,20,16,0.4437713623046875,0.001220703125,16384 16384 16384 11189 11189 10253 10253 9772 8981 2520 1715 727 353 144 64 20,0 0 0 5195 0 936 0 481 791 6461 805 988 374 209 80 44 20
static,102,1446,5,62893,16384,0,0,11,0.23991775512695312,0.0,16384 16384 16384 7389 4222 1055 766 237 53 17 2 0 0 0 0 0,0 0 0 8995 3167 3167 289 529 184 36 15 2 0 0 0 0 0
static,103,1447,5,120111,16384,0,0,13,0.4581871032714844,0.0,16384 16384 16384 16384 16384 10486 9499 6590 5764 2955 2115 496 286 0 0 0,0 0 0 0 0 5898 987 2909 826 2809 840 1619 210 286 0 0 0
static,104,1448,5,116988,16384,0,0,15,0.4462738037109375,0.0,16384 16384 16384 16384 16084 9144 8213 6698 5502 3039 2103 516 129 13 11 0,0 0 0 0 300 6940 931 1515 1196 2463 936 1587 387 116 2 11 0
static,105,1449,5,82042,16384,0,0,11,0.31296539306640625,0.0,16384 16384 16384 11657 10561 5548 4888 192 35 7 2 0 0 0 0 0,0 0 0 4727 1096 5013 660 4696 157 28 5 2 0 0 0 0 0
static,106,1144,4,79568,16384,0,108,16,0.30352783203125,0.006591796875,16384 16384 16384 16384 2894 2894 2226 2226 789 768 692 485 430 280 240 108,0 0 0 0 13490 0 668 0 1437 21 76 207 55 150 40 132 108
static,107,1145,4,197425,16384,0,6564,16,0.7531166076660156,0.400634765625,16384 16384 16384 16384 16384 16384 16384 16384 16369 7815 7808 7115 7063 6875 6744 6564,0 0 0 0 0 0 0 0 15 8554 7 693 52 188 131 180 6564
static,108,1159,4,141324,16384,0,4413,16,0.5391082763671875,0.26934814453125,16384 16384 16384 16384 8459 8082 7246 7123 6646 6469 6151 5696 5440 5157 4906 4413,0 0 0 0 7925 377 836 123 477 177 318 455 256 283 251 493 4413
static,109,892,3,147456,16384,0,0,9,0.5625,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 16384 0 0 0 0 0 0 0
static,110,893,3,148833,16384,0,0,14,0.5677528381347656,0.0,16384 16384 16384 16384 16384 16384 16384 15418 14640 2825 666 543 43 10 0 0,0 0 0 0 0 0 0 966 778 11815 2159 123 500 33 10 0 0
static,111,899,3,145513,16384,0,0,11,0.5550880432128906,0.0,16384 16384 16384 16384 16384 16384 16384 14806 14455 1403 161 0 0 0 0 0,0 0 0 0 0 0 0 1578 351 13052 1242 161 0 0 0 0 0
static,112,900,3,179672,16384,0,0,13,0.685394287109375,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 8362 8362 7746 7746 0 0 0,0 0 0 0 0 0 0 0 0 8022 0 616 0 7746 0 0 0
static,113,908,3,147456,16384,0,0,9,0.5625,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 16384 0 0 0 0 0 0 0
static,114,909,3,153108,16384,0,0,15,0.5840606689453125,0.0,16384 16384 16384 16384 16384 16384 16384 16292 16135 3120 1501 979 338 52 3 0,0 0 0 0 0 0 0 92 157 13015 1619 522 641 286 49 3 0
static,115,915,3,143756,16384,0,0,14,0.5483856201171875,0.0,16384 16384 16384 16384 16384 15931 15497 14182 13702 1943 523 50 7 1 0 0,0 0 0 0 0 453 434 1315 480 11759 1420 473 43 6 1 0 0
